Feature,category,Method
101713,shrimp,VIP+FoldChange
10172,mushroom plant,VIP+FoldChange
101724,tarragon,VIP+FoldChange
101728,grapefruit,VIP+FoldChange
101730,carrot,VIP+FoldChange
101734,onion,VIP+FoldChange
101738,blueberry,VIP+FoldChange
101777,cocoa seed,VIP+FoldChange
101806,guava,VIP+FoldChange
101813,strawberry,VIP+FoldChange
101814,strawberry,VIP+FoldChange
101822,borage flower,VIP+FoldChange
101833,pea,VIP+FoldChange
101840,pig,VIP+FoldChange
101842,pig,VIP+FoldChange
10185,"trout, Tilapia",VIP+FoldChange
101868,"chard, borage flower",VIP+FoldChange
101899,peanut,VIP+FoldChange
101918,Tilapia,VIP+FoldChange
101942,yogurt_cow,VIP+FoldChange
101961,cheddar cheese,VIP+FoldChange
101965,"anise, cardamom",VIP+FoldChange
101979,"cilantro, tarragon",VIP+FoldChange
101980,"cilantro, borage flower, borage leaf",VIP+FoldChange
102039,"onion, chive blossom",VIP+FoldChange
102040,guava,VIP+FoldChange
102043,ground cherry,VIP+FoldChange
102044,"strawberry, guava",VIP+FoldChange
102053,chicken,VIP+FoldChange
102055,tarragon,VIP+FoldChange
102071,garlic powder,VIP+FoldChange
102073,garlic powder,VIP+FoldChange
102100,tomato,VIP+FoldChange
102111,"onion, chive blossom",VIP+FoldChange
102129,radish,VIP+FoldChange
102153,"hing powder, chive blossom",VIP+FoldChange
102154,"chard, mushroom plant",VIP+FoldChange
102166,yogurt_cow,VIP+FoldChange
102171,cardamom,VIP+FoldChange
102187,bay leaf,VIP+FoldChange
102198,garlic,VIP+FoldChange
102214,rosemary,VIP+FoldChange
102225,salmon,VIP+FoldChange
102263,betel nut,VIP+FoldChange
102270,shrimp,VIP+FoldChange
102286,cilantro,VIP+FoldChange
102300,cilantro,VIP+FoldChange
102302,onion,VIP+FoldChange
102304,tomato,VIP+FoldChange
102321,"bay leaf, avocado",VIP+FoldChange
102330,"onion, chive blossom",VIP+FoldChange
102334,dill flower,VIP+FoldChange
102350,"blueberry, strawberry, jicama",VIP+FoldChange
102353,trout,VIP+FoldChange
102354,fig,VIP+FoldChange
102361,cilantro,VIP+FoldChange
102371,strawberry,VIP+FoldChange
102399,ginger,VIP+FoldChange
102414,fig,VIP+FoldChange
102424,pea,VIP+FoldChange
102425,tomato,VIP+FoldChange
102446,tomato,VIP+FoldChange
102448,"radish, radish greens",VIP+FoldChange
102449,fig,VIP+FoldChange
102454,pea,VIP+FoldChange
102459,tomato,VIP+FoldChange
102464,raspberry,VIP+FoldChange
102467,chicken,VIP+FoldChange
102468,blueberry,VIP+FoldChange
102469,"peanut, guava",VIP+FoldChange
102478,"pear, avocado",VIP+FoldChange
102496,olive,VIP+FoldChange
102506,"garlic, garlic powder",VIP+FoldChange
102520,borage leaf,VIP+FoldChange
102533,watercress,VIP+FoldChange
102534,grape_fermented,VIP+FoldChange
102536,cilantro,VIP+FoldChange
102545,chicken,VIP+FoldChange
102550,marjoram,VIP+FoldChange
102557,"garlic, garlic powder",VIP+FoldChange
102588,"arugula, kale, radish greens, parsley",VIP+FoldChange
102601,Tilapia,VIP+FoldChange
102605,sumac,VIP+FoldChange
102613,tomato,VIP+FoldChange
10262,cocoa seed,VIP+FoldChange
102625,cheddar cheese,VIP+FoldChange
10266,oat,VIP+FoldChange
102677,cheddar cheese,VIP+FoldChange
102681,peanut,VIP+FoldChange
102691,cilantro,VIP+FoldChange
102714,"garlic, garlic powder",VIP+FoldChange
102722,tarragon,VIP+FoldChange
102723,cheddar cheese,VIP+FoldChange
102738,tomato,VIP+FoldChange
102740,cilantro,VIP+FoldChange
102743,"sage, chard",VIP+FoldChange
102745,chia,VIP+FoldChange
102753,garlic powder,VIP+FoldChange
102759,"garlic, garlic powder",VIP+FoldChange
102767,potato,VIP+FoldChange
102791,"arugula, marjoram",VIP+FoldChange
102804,cucumber,VIP+FoldChange
102913,lentil,VIP+FoldChange
102935,cucumber,VIP+FoldChange
102963,potato,VIP+FoldChange
102965,"rice, arugula",VIP+FoldChange
103004,yogurt_cow,VIP+FoldChange
103008,corn,VIP+FoldChange
103010,"corn, cauliflower",VIP+FoldChange
103015,tomato,VIP+FoldChange
10302,pear,VIP+FoldChange
10303,"dill flower, parsley, watercress",VIP+FoldChange
103030,shrimp,VIP+FoldChange
103066,ground cherry,VIP+FoldChange
103068,chicken,VIP+FoldChange
103115,"rice, arugula",VIP+FoldChange
103116,arugula,VIP+FoldChange
103117,arugula,VIP+FoldChange
103134,cloves,VIP+FoldChange
103177,sesame,VIP+FoldChange
103237,tomato,VIP+FoldChange
103298,Tilapia,VIP+FoldChange
103305,mango,VIP+FoldChange
10331,cardamom,VIP+FoldChange
103317,garlic,VIP+FoldChange
103320,corn,VIP+FoldChange
10333,jicama,VIP+FoldChange
103339,"basil, lettuce",VIP+FoldChange
10336,cauliflower,VIP+FoldChange
103364,anise,VIP+FoldChange
10339,tomato,VIP+FoldChange
103393,tomato,VIP+FoldChange
10340,tomato,VIP+FoldChange
103420,ground cherry,VIP+FoldChange
103423,grain_fermented,VIP+FoldChange
10345,sesame seed,VIP+FoldChange
10347,"onion, chive stem, chive blossom",VIP+FoldChange
103484,"basil, lettuce",VIP+FoldChange
10349,"garlic powder, radish",VIP+FoldChange
103532,strawberry,VIP+FoldChange
103536,blueberry,VIP+FoldChange
103541,cardamom,VIP+FoldChange
103544,beet,VIP+FoldChange
103552,chia,VIP+FoldChange
103567,sage,VIP+FoldChange
103580,"basil, lettuce",VIP+FoldChange
103582,eggplant,VIP+FoldChange
103583,poppy seed,VIP+FoldChange
103585,garlic powder,VIP+FoldChange
103586,"anise, garlic powder",VIP+FoldChange
103588,garlic powder,VIP+FoldChange
103605,olive,VIP+FoldChange
103619,"basil, lettuce",VIP+FoldChange
103634,cardamom,VIP+FoldChange
103650,shrimp,VIP+FoldChange
103654,milk_cow,VIP+FoldChange
103656,borage flower,VIP+FoldChange
103687,pig,VIP+FoldChange
103712,broccoli,VIP+FoldChange
103714,"rice, arugula",VIP+FoldChange
103722,cheddar cheese,VIP+FoldChange
103737,banana,VIP+FoldChange
103819,pea,VIP+FoldChange
103828,lemon,VIP+FoldChange
103866,"basil, lettuce",VIP+FoldChange
10387,cranberry,VIP+FoldChange
103871,chard,VIP+FoldChange
103900,"grape_fermented, grain_fermented, bay leaf",VIP+FoldChange
103916,shrimp,VIP+FoldChange
103924,betel nut leaf,VIP+FoldChange
103926,sugarcane,VIP+FoldChange
103938,basil,VIP+FoldChange
103944,carrot,VIP+FoldChange
103950,yogurt_cow,VIP+FoldChange
104007,broccoli,VIP+FoldChange
10405,langostino,VIP+FoldChange
104059,"blueberry, cranberry",VIP+FoldChange
10406,mushroom,VIP+FoldChange
104064,"chard, mushroom plant",VIP+FoldChange
104081,bay leaf,VIP+FoldChange
104082,anise,VIP+FoldChange
104098,cauliflower,VIP+FoldChange
104115,pig,VIP+FoldChange
104134,langostino,VIP+FoldChange
104136,eggplant,VIP+FoldChange
104139,"garlic, garlic powder",VIP+FoldChange
104151,betel nut,VIP+FoldChange
104164,grape_fermented,VIP+FoldChange
104179,marjoram,VIP+FoldChange
104199,"shrimp, langostino",VIP+FoldChange
104205,"kumquat, mushroom plant",VIP+FoldChange
104218,poppy seed,VIP+FoldChange
104223,cucumber,VIP+FoldChange
104227,jicama,VIP+FoldChange
104242,radish,VIP+FoldChange
104247,sage,VIP+FoldChange
104261,shrimp,VIP+FoldChange
104264,"borage flower, cannabis leaf, borage leaf",VIP+FoldChange
104266,marigold,VIP+FoldChange
10427,eggplant,VIP+FoldChange
104288,anise,VIP+FoldChange
104302,"grape_fermented, legume, grape",VIP+FoldChange
104318,ginger,VIP+FoldChange
104327,corn,VIP+FoldChange
104330,shrimp,VIP+FoldChange
104359,"cranberry, ground cherry",VIP+FoldChange
104364,cilantro,VIP+FoldChange
104383,lentil,VIP+FoldChange
104389,poppy seed,VIP+FoldChange
104423,onion,VIP+FoldChange
104432,marigold,VIP+FoldChange
104441,garlic powder,VIP+FoldChange
104450,shrimp,VIP+FoldChange
104453,cilantro,VIP+FoldChange
10447,guava,VIP+FoldChange
104513,olive,VIP+FoldChange
104535,shrimp,VIP+FoldChange
104539,shrimp,VIP+FoldChange
104547,mushroom,VIP+FoldChange
104563,cardamom,VIP+FoldChange
104569,tomato,VIP+FoldChange
104570,tomato,VIP+FoldChange
104574,tomato,VIP+FoldChange
104578,sage,VIP+FoldChange
104591,grain_fermented,VIP+FoldChange
104594,cocoa seed,VIP+FoldChange
104598,cocoa seed,VIP+FoldChange
104608,"lavender, marjoram",VIP+FoldChange
104611,borage flower,VIP+FoldChange
104624,pepper,VIP+FoldChange
104637,tomato,VIP+FoldChange
104638,legume,VIP+FoldChange
104644,"walnut, cranberry, avocado",VIP+FoldChange
104668,Tilapia,VIP+FoldChange
104700,tomato,VIP+FoldChange
104702,"pine nut, jicama",VIP+FoldChange
104703,sesame seed,VIP+FoldChange
104712,pomelo,VIP+FoldChange
104714,yogurt_cow,VIP+FoldChange
10472,walnut,VIP+FoldChange
104740,grain_fermented,VIP+FoldChange
10479,sweet potato,VIP+FoldChange
104791,marjoram,VIP+FoldChange
104796,"raspberry, betel nut",VIP+FoldChange
104810,Spenach,VIP+FoldChange
104812,langostino,VIP+FoldChange
104829,"cranberry, avocado",VIP+FoldChange
104838,mushroom,VIP+FoldChange
104846,"arugula, apricot",VIP+FoldChange
104881,sage,VIP+FoldChange
104893,grain_fermented,VIP+FoldChange
104894,grain_fermented,VIP+FoldChange
104896,shrimp,VIP+FoldChange
104914,"dill, parsley",VIP+FoldChange
104940,salmon,VIP+FoldChange
104948,potato,VIP+FoldChange
10496,"langostino, radish",VIP+FoldChange
10499,langostino,VIP+FoldChange
104993,grain_fermented,VIP+FoldChange
104994,turmeric,VIP+FoldChange
105001,cilantro,VIP+FoldChange
105008,Spenach,VIP+FoldChange
105020,tomato,VIP+FoldChange
105053,peanut,VIP+FoldChange
10506,"peanut, poppy seed",VIP+FoldChange
105062,spinach,VIP+FoldChange
105070,"chard, radish greens",VIP+FoldChange
105085,potato,VIP+FoldChange
105106,"marigold, lemon balm",VIP+FoldChange
105112,eggplant,VIP+FoldChange
105116,"langostino, eggplant",VIP+FoldChange
105117,eggplant,VIP+FoldChange
105142,"garlic, garlic powder",VIP+FoldChange
105151,sesame,VIP+FoldChange
105167,chia,VIP+FoldChange
105192,pea,VIP+FoldChange
105250,shrimp,VIP+FoldChange
105262,sesame,VIP+FoldChange
105267,borage flower,VIP+FoldChange
10530,grape_fermented,VIP+FoldChange
105318,chicken,VIP+FoldChange
105325,"borage flower, borage leaf, marjoram",VIP+FoldChange
105359,kumquat,VIP+FoldChange
105370,"bay leaf, betel nut",VIP+FoldChange
105382,"olive, mint",VIP+FoldChange
105388,chive blossom,VIP+FoldChange
105392,radish greens,VIP+FoldChange
105393,"salmon, potato",VIP+FoldChange
105398,grain_fermented,VIP+FoldChange
1054,lentil,VIP+FoldChange
105415,anise,VIP+FoldChange
105416,anise,VIP+FoldChange
105447,carrot,VIP+FoldChange
105448,tomato,VIP+FoldChange
105457,"rice, arugula",VIP+FoldChange
105462,cranberry,VIP+FoldChange
105464,shrimp,VIP+FoldChange
105479,"sage, anise",VIP+FoldChange
105488,marjoram,VIP+FoldChange
105505,olive,VIP+FoldChange
10552,"oat, wheat",VIP+FoldChange
105529,chard,VIP+FoldChange
105532,yogurt_cow,VIP+FoldChange
105535,sage,VIP+FoldChange
10556,tomato,VIP+FoldChange
105560,guava,VIP+FoldChange
105564,borage flower,VIP+FoldChange
105580,cranberry,VIP+FoldChange
105588,hing powder,VIP+FoldChange
105625,cannabis leaf,VIP+FoldChange
105631,"rice, arugula",VIP+FoldChange
105633,"rice, arugula",VIP+FoldChange
105643,yogurt_cow,VIP+FoldChange
105647,lemon balm,VIP+FoldChange
105664,grapefruit,VIP+FoldChange
105673,"borage flower, borage leaf",VIP+FoldChange
105674,poppy seed,VIP+FoldChange
10570,carrot,VIP+FoldChange
105705,sweet potato,VIP+FoldChange
10571,veal,VIP+FoldChange
105757,"borage flower, borage leaf",VIP+FoldChange
105762,guava,VIP+FoldChange
105766,mushroom plant,VIP+FoldChange
105772,"oregano, marjoram",VIP+FoldChange
105823,grape_fermented,VIP+FoldChange
105826,pig,VIP+FoldChange
105833,milk_cow,VIP+FoldChange
105839,"cranberry, lemon balm",VIP+FoldChange
105848,avocado,VIP+FoldChange
105859,chard,VIP+FoldChange
105862,ginger,VIP+FoldChange
105881,"walnut, parsley",VIP+FoldChange
105885,raspberry,VIP+FoldChange
105899,"banana, parsley",VIP+FoldChange
105943,"carrot, banana",VIP+FoldChange
105950,langostino,VIP+FoldChange
105951,tomato,VIP+FoldChange
106023,egg_chicken,VIP+FoldChange
106030,shrimp,VIP+FoldChange
106034,langostino,VIP+FoldChange
106051,"banana, parsley",VIP+FoldChange
106071,arugula,VIP+FoldChange
106077,walnut,VIP+FoldChange
106078,walnut,VIP+FoldChange
106079,walnut,VIP+FoldChange
106088,"rice, arugula, eggplant",VIP+FoldChange
106096,garlic,VIP+FoldChange
106103,mushroom,VIP+FoldChange
106122,"Spenach, spinach",VIP+FoldChange
106126,blueberry,VIP+FoldChange
106144,sesame seed,VIP+FoldChange
106152,salmon,VIP+FoldChange
106177,ginger,VIP+FoldChange
106178,"ginger, cloves",VIP+FoldChange
106196,"kumquat, betel nut",VIP+FoldChange
10621,kale,VIP+FoldChange
106226,potato,VIP+FoldChange
106239,grain_fermented,VIP+FoldChange
106250,"radish, radish greens",VIP+FoldChange
106256,yogurt_cow,VIP+FoldChange
106269,ginger,VIP+FoldChange
106274,"arugula, Spenach",VIP+FoldChange
106279,kumquat,VIP+FoldChange
106287,kumquat,VIP+FoldChange
106308,cheddar cheese,VIP+FoldChange
106311,"Spenach, spinach",VIP+FoldChange
106312,"Spenach, spinach",VIP+FoldChange
106313,"Spenach, spinach",VIP+FoldChange
106346,"tomato, potato",VIP+FoldChange
106355,strawberry,VIP+FoldChange
106372,mint,VIP+FoldChange
106378,lime,VIP+FoldChange
106396,cauliflower,VIP+FoldChange
106416,sage,VIP+FoldChange
10642,oat,VIP+FoldChange
106426,"Spenach, spinach",VIP+FoldChange
106436,chia,VIP+FoldChange
106443,"onion, hing powder",VIP+FoldChange
10645,pomelo,VIP+FoldChange
106458,onion,VIP+FoldChange
106460,thyme,VIP+FoldChange
106493,tomato,VIP+FoldChange
10650,"pig, sesame",VIP+FoldChange
10657,"kumquat, cloves",VIP+FoldChange
106588,kumquat,VIP+FoldChange
106596,"thyme, curry plant",VIP+FoldChange
106632,shrimp,VIP+FoldChange
106638,cranberry,VIP+FoldChange
106643,anise,VIP+FoldChange
106659,borage leaf,VIP+FoldChange
106683,"langostino, eggplant",VIP+FoldChange
106686,shrimp,VIP+FoldChange
106732,onion,VIP+FoldChange
106758,tomato,VIP+FoldChange
106765,bay leaf,VIP+FoldChange
106782,pig,VIP+FoldChange
106793,shrimp,VIP+FoldChange
106795,shrimp,VIP+FoldChange
106808,cheddar cheese,VIP+FoldChange
106816,garlic,VIP+FoldChange
106828,tomato,VIP+FoldChange
106840,guava,VIP+FoldChange
106846,tomato,VIP+FoldChange
106849,"oregano, marjoram",VIP+FoldChange
106865,watercress,VIP+FoldChange
106866,chia,VIP+FoldChange
106876,jicama,VIP+FoldChange
106894,"potato, chive blossom",VIP+FoldChange
106899,Tilapia,VIP+FoldChange
106911,radish,VIP+FoldChange
106912,peanut,VIP+FoldChange
106924,tomato,VIP+FoldChange
106934,blueberry,VIP+FoldChange
106954,tarragon,VIP+FoldChange
106976,carrot,VIP+FoldChange
106991,langostino,VIP+FoldChange
106996,radish greens,VIP+FoldChange
107000,tomato,VIP+FoldChange
107002,tomato,VIP+FoldChange
107008,yogurt_cow,VIP+FoldChange
10704,sesame,VIP+FoldChange
10705,pine nut,VIP+FoldChange
107054,marigold,VIP+FoldChange
107057,"Spenach, spinach",VIP+FoldChange
107062,spinach,VIP+FoldChange
107066,spinach,VIP+FoldChange
107092,corn,VIP+FoldChange
107112,dill flower,VIP+FoldChange
107117,infusion,VIP+FoldChange
107143,orange,VIP+FoldChange
107166,oat,VIP+FoldChange
10717,walnut,VIP+FoldChange
107183,yogurt_cow,VIP+FoldChange
10720,walnut,VIP+FoldChange
107202,beet,VIP+FoldChange
10721,walnut,VIP+FoldChange
107227,raspberry,VIP+FoldChange
107249,"blueberry, walnut",VIP+FoldChange
107288,pig,VIP+FoldChange
107292,lime,VIP+FoldChange
107332,brussel sprout,VIP+FoldChange
107337,yogurt_cow,VIP+FoldChange
107347,cranberry,VIP+FoldChange
107348,cranberry,VIP+FoldChange
10736,bean,VIP+FoldChange
107360,betel nut leaf,VIP+FoldChange
107362,betel nut leaf,VIP+FoldChange
107363,betel nut leaf,VIP+FoldChange
107386,radish greens,VIP+FoldChange
107387,mushroom,VIP+FoldChange
107399,"broccoli, cauliflower, brussel sprout",VIP+FoldChange
107400,blueberry,VIP+FoldChange
107416,radish,VIP+FoldChange
10742,blueberry,VIP+FoldChange
107431,marjoram,VIP+FoldChange
107444,marjoram,VIP+FoldChange
107451,chia,VIP+FoldChange
107464,"broccoli, cauliflower",VIP+FoldChange
107483,peanut,VIP+FoldChange
107495,chia,VIP+FoldChange
107509,marigold,VIP+FoldChange
107523,cranberry,VIP+FoldChange
107549,betel nut,VIP+FoldChange
107560,tomato,VIP+FoldChange
107574,"Spenach, spinach",VIP+FoldChange
107585,salmon,VIP+FoldChange
107606,shrimp,VIP+FoldChange
107607,salmon,VIP+FoldChange
107622,lime,VIP+FoldChange
10763,"anise, persimmon",VIP+FoldChange
107636,spice,VIP+FoldChange
107655,peanut,VIP+FoldChange
107684,peanut,VIP+FoldChange
107688,avocado,VIP+FoldChange
107695,cheddar cheese,VIP+FoldChange
1077,cheddar cheese,VIP+FoldChange
107719,marigold,VIP+FoldChange
10773,pomelo,VIP+FoldChange
107788,pig,VIP+FoldChange
10780,"squash, marigold",VIP+FoldChange
107807,tomato,VIP+FoldChange
107808,sweet potato,VIP+FoldChange
107820,"bay leaf, chive stem, chive blossom",VIP+FoldChange
107867,"blueberry, cranberry",VIP+FoldChange
107873,"broccoli, cauliflower, brussel sprout",VIP+FoldChange
107880,"borage flower, borage leaf",VIP+FoldChange
107919,chia,VIP+FoldChange
107930,sesame seed,VIP+FoldChange
107945,marjoram,VIP+FoldChange
107968,yogurt_cow,VIP+FoldChange
107970,shrimp,VIP+FoldChange
107979,"garlic, garlic powder",VIP+FoldChange
107993,marigold,VIP+FoldChange
107994,borage flower,VIP+FoldChange
10801,squash blossom,VIP+FoldChange
108054,chicken,VIP+FoldChange
108095,strawberry,VIP+FoldChange
108104,"anise, cocoa seed",VIP+FoldChange
108106,sweet potato,VIP+FoldChange
108109,"onion, radish",VIP+FoldChange
108112,apple,VIP+FoldChange
108114,chive stem,VIP+FoldChange
108115,blueberry,VIP+FoldChange
108117,garlic,VIP+FoldChange
108120,"tomato, potato",VIP+FoldChange
108132,tomato,VIP+FoldChange
108136,"Spenach, spinach",VIP+FoldChange
108137,"Spenach, spinach",VIP+FoldChange
108150,cardamom,VIP+FoldChange
108160,"mint, borage flower",VIP+FoldChange
108165,grain_fermented,VIP+FoldChange
108169,apple,VIP+FoldChange
108172,carrot,VIP+FoldChange
108182,radish greens,VIP+FoldChange
108211,chive blossom,VIP+FoldChange
108280,tomato,VIP+FoldChange
108290,chia,VIP+FoldChange
108292,tomato,VIP+FoldChange
108295,eggplant,VIP+FoldChange
108316,yogurt_cow,VIP+FoldChange
108346,rosemary,VIP+FoldChange
108348,milk_cow,VIP+FoldChange
108397,guava,VIP+FoldChange
108400,"borage flower, borage leaf",VIP+FoldChange
108411,pomelo,VIP+FoldChange
108416,"dill flower, dill",VIP+FoldChange
108419,rosemary,VIP+FoldChange
10842,radish,VIP+FoldChange
108427,chive blossom,VIP+FoldChange
108428,cheddar cheese,VIP+FoldChange
108431,walnut,VIP+FoldChange
108436,broccoli,VIP+FoldChange
10845,radish,VIP+FoldChange
108512,marigold,VIP+FoldChange
10855,squash,VIP+FoldChange
108562,mushroom,VIP+FoldChange
108579,pomelo,VIP+FoldChange
10861,mango,VIP+FoldChange
108610,bay leaf,VIP+FoldChange
108620,radish,VIP+FoldChange
108623,chive stem,VIP+FoldChange
108627,broccoli,VIP+FoldChange
108644,pig,VIP+FoldChange
108646,blueberry,VIP+FoldChange
108661,"hing powder, chive blossom",VIP+FoldChange
108665,yogurt_cow,VIP+FoldChange
108705,"sage, thyme",VIP+FoldChange
108710,avocado,VIP+FoldChange
108714,shrimp,VIP+FoldChange
108724,"borage flower, cloves",VIP+FoldChange
108737,"onion, hing powder, chive blossom",VIP+FoldChange
108748,eggplant,VIP+FoldChange
108774,lemon,VIP+FoldChange
108784,marjoram,VIP+FoldChange
108800,shrimp,VIP+FoldChange
108811,peanut,VIP+FoldChange
108816,shrimp,VIP+FoldChange
10884,trout,VIP+FoldChange
108857,"turmeric, lavender, borage leaf",VIP+FoldChange
108862,bay leaf,VIP+FoldChange
108878,"pine nut, grain_fermented",VIP+FoldChange
108907,cloves,VIP+FoldChange
108921,walnut,VIP+FoldChange
108923,milk_cow,VIP+FoldChange
108924,mushroom,VIP+FoldChange
108929,sage,VIP+FoldChange
108956,"dill flower, nasturtium",VIP+FoldChange
108964,lettuce,VIP+FoldChange
108967,banana,VIP+FoldChange
108976,marjoram,VIP+FoldChange
109011,banana,VIP+FoldChange
109012,"dill flower, dill, fennel, cloves",VIP+FoldChange
109017,"onion, chive blossom",VIP+FoldChange
10903,"broccoli, grain_fermented",VIP+FoldChange
109033,veal,VIP+FoldChange
109038,salmon,VIP+FoldChange
109046,"onion, hing powder",VIP+FoldChange
109070,lettuce,VIP+FoldChange
109086,"pea, parsley",VIP+FoldChange
109087,raspberry,VIP+FoldChange
109089,tomato,VIP+FoldChange
109093,marigold,VIP+FoldChange
109103,yogurt_cow,VIP+FoldChange
109104,"Spenach, spinach",VIP+FoldChange
109139,oat,VIP+FoldChange
10916,cheddar cheese,VIP+FoldChange
109174,tomato,VIP+FoldChange
109191,cranberry,VIP+FoldChange
109196,"walnut, cranberry, ground cherry",VIP+FoldChange
109201,sage,VIP+FoldChange
109231,"celery, pepper",VIP+FoldChange
109236,oat,VIP+FoldChange
