"Feature","category","Method"
"47314","Vegetable","Top40_VIP_High"
"47463","Complex_Seafood","Top40_VIP_High"
"47477","Complex_Seafood","Top40_VIP_High"
"47482","Complex_Meat","Top40_VIP_High"
"47552","Seafood","Top40_VIP_High"
"47599","Vegetable","Top40_VIP_High"
"47871","bran","Top40_VIP_High"
"48010","Seafood","Top40_VIP_High"
"4807","Complex_Dairy","Top40_VIP_High"
"48074","Complex_Seafood","Top40_VIP_High"
"48090","Seafood","Top40_VIP_High"
"48254","Complex_Dairy","Top40_VIP_High"
"48296","Dairy","Top40_VIP_High"
"48330","Meat","Top40_VIP_High"
"4836","bran","Top40_VIP_High"
"48612","Complex_Dairy","Top40_VIP_High"
"48702","Seafood","Top40_VIP_High"
"48748","Meat, Egg","Top40_VIP_High"
"48786","Seafood","Top40_VIP_High"
"48810","Vegetable","Top40_VIP_High"
"48857","Vegetable","Top40_VIP_High"
"48876","Vitamins","Top40_VIP_High"
"48898","Seafood","Top40_VIP_High"
"4893","Fruit","Top40_VIP_High"
"48932","Seafood","Top40_VIP_High"
"49019","Complex_Dairy","Top40_VIP_High"
"49073","Complex_Seafood","Top40_VIP_High"
"49076","Complex_Seafood","Top40_VIP_High"
"49121","Vitamins","Top40_VIP_High"
"49138","Vitamins","Top40_VIP_High"
"49217","Meat","Top40_VIP_High"
"49233","Seafood","Top40_VIP_High"
"49299","Complex_Seafood","Top40_VIP_High"
"49314","Vitamins","Top40_VIP_High"
"49400","bran","Top40_VIP_High"
"49531","bran","Top40_VIP_High"
"49668","Complex_Dairy","Top40_VIP_High"
"49795","Seafood","Top40_VIP_High"
"49820","Complex_Dairy","Top40_VIP_High"
"49841","Meat","Top40_VIP_High"
"49856","Complex_Dairy","Top40_VIP_High"
"49865","Seafood","Top40_VIP_High"
"49870","Seafood","Top40_VIP_High"
"50155","Meat","Top40_VIP_High"
"50258","bran","Top40_VIP_High"
"50324","Seafood","Top40_VIP_High"
"50506","Complex_Seafood","Top40_VIP_High"
"5066","Fruit","Top40_VIP_High"
"50767","Meat","Top40_VIP_High"
"50922","Seafood","Top40_VIP_High"
"51230","Seafood","Top40_VIP_High"
"51239","Seafood","Top40_VIP_High"
"51304","Vegetable","Top40_VIP_High"
"51308","EEN","Top40_VIP_High"
"51318","Vegetable","Top40_VIP_High"
"51337","Vegetable","Top40_VIP_High"
"51365","Vegetable","Top40_VIP_High"
"51373","Vegetable","Top40_VIP_High"
"51506","Meat","Top40_VIP_High"
"51533","Complex_Dairy","Top40_VIP_High"
"51578","Seafood","Top40_VIP_High"
"51612","Complex_Seafood","Top40_VIP_High"
"51857","Vegetable","Top40_VIP_High"
"51884","Egg","Top40_VIP_High"
"5198","Vegetable","Top40_VIP_High"
"51998","Meat","Top40_VIP_High"
"52073","Vegetable","Top40_VIP_High"
"52121","Vegetable","Top40_VIP_High"
"52122","Vegetable","Top40_VIP_High"
"52153","Vegetable","Top40_VIP_High"
"52217","Complex_Seafood","Top40_VIP_High"
"52342","Seafood","Top40_VIP_High"
"52480","Egg","Top40_VIP_High"
"52985","Egg","Top40_VIP_High"
"53015","Meat","Top40_VIP_High"
"53017","Seafood","Top40_VIP_High"
"53052","Meat, Egg","Top40_VIP_High"
"53239","Complex_Seafood","Top40_VIP_High"
"53403","Complex_Meat","Top40_VIP_High"
"53455","Vegetable","Top40_VIP_High"
"53567","Complex_Dairy","Top40_VIP_High"
"53614","EEN","Top40_VIP_High"
"53672","Egg","Top40_VIP_High"
"5373","Fruit","Top40_VIP_High"
"5376","Complex_Meat","Top40_VIP_High"
"53920","bran","Top40_VIP_High"
"53959","Meat","Top40_VIP_High"
"5401","EEN","Top40_VIP_High"
"541","Complex_Seafood","Top40_VIP_High"
"54171","Complex_Dairy","Top40_VIP_High"
"54238","bran","Top40_VIP_High"
"54392","bran","Top40_VIP_High"
"5450","bran","Top40_VIP_High"
"54539","Seafood","Top40_VIP_High"
"54557","Complex_Dairy","Top40_VIP_High"
"54604","Complex_Dairy","Top40_VIP_High"
"54714","Seafood","Top40_VIP_High"
"54903","Meat","Top40_VIP_High"
"54908","Complex_Dairy","Top40_VIP_High"
"5493","Fruit","Top40_VIP_High"
"55068","Complex_Dairy","Top40_VIP_High"
"55289","Egg","Top40_VIP_High"
"55421","Meat, Egg","Top40_VIP_High"
"56215","Egg","Top40_VIP_High"
"56314","Complex_Seafood","Top40_VIP_High"
"56468","Egg","Top40_VIP_High"
"56618","Egg","Top40_VIP_High"
"56801","Egg","Top40_VIP_High"
"56822","Vegetable","Top40_VIP_High"
"56834","Meat","Top40_VIP_High"
"57033","Complex_Dairy","Top40_VIP_High"
"5704","bran","Top40_VIP_High"
"57114","Egg","Top40_VIP_High"
"5714","bran","Top40_VIP_High"
"57216","Egg","Top40_VIP_High"
"57253","Complex_Meat","Top40_VIP_High"
"57288","Complex_Meat","Top40_VIP_High"
"57386","Fruit","Top40_VIP_High"
"5747","bran","Top40_VIP_High"
"57489","EEN","Top40_VIP_High"
"57493","EEN","Top40_VIP_High"
"57530","EEN","Top40_VIP_High"
"57534","EEN","Top40_VIP_High"
"5770","Complex_Dairy","Top40_VIP_High"
"57848","Egg","Top40_VIP_High"
"57884","EEN","Top40_VIP_High"
"57924","Complex_Dairy","Top40_VIP_High"
"5809","Complex_Meat","Top40_VIP_High"
"58096","Egg","Top40_VIP_High"
"58129","bran","Top40_VIP_High"
"58573","EEN","Top40_VIP_High"
"5885","Complex_Dairy","Top40_VIP_High"
"60550","EEN","Top40_VIP_High"
"60639","bran","Top40_VIP_High"
"60645","Egg","Top40_VIP_High"
"61466","Vitamins","Top40_VIP_High"
"6246","bran","Top40_VIP_High"
"63","Complex_Meat","Top40_VIP_High"
"630","Complex_Seafood","Top40_VIP_High"
"6372","Vegetable","Top40_VIP_High"
"6431","Complex_Meat","Top40_VIP_High"
"646","Complex_Seafood","Top40_VIP_High"
"6464","Fruit","Top40_VIP_High"
"6481","Fruit","Top40_VIP_High"
"680","Complex_Seafood","Top40_VIP_High"
"6986","bran","Top40_VIP_High"
"6988","bran","Top40_VIP_High"
"7000","bran","Top40_VIP_High"
"7012","Fruit","Top40_VIP_High"
"7040","Vitamins","Top40_VIP_High"
"7158","Fruit","Top40_VIP_High"
"7172","Vitamins","Top40_VIP_High"
"7256","Fruit","Top40_VIP_High"
"7337","Complex_Dairy","Top40_VIP_High"
"7502","bran","Top40_VIP_High"
"77","Complex_Meat","Top40_VIP_High"
"771","Egg","Top40_VIP_High"
"7788","bran","Top40_VIP_High"
"8063","EEN","Top40_VIP_High"
"8394","bran","Top40_VIP_High"
"8548","EEN","Top40_VIP_High"
"8951","Fruit","Top40_VIP_High"
"8988","Dairy","Top40_VIP_High"
"901","Egg","Top40_VIP_High"
"9271","Fruit","Top40_VIP_High"
"9467","Meat","Top40_VIP_High"
"964","EEN","Top40_VIP_High"
"968","Vegetable","Top40_VIP_High"
"9699","bran","Top40_VIP_High"
"9983","bran","Top40_VIP_High"
