"Feature","category","Method"
"42006","EEN","Top20_VIP_High"
"42060","EEN","Top20_VIP_High"
"4214","Fruit","Top20_VIP_High"
"42315","Complex_Seafood","Top20_VIP_High"
"42357","Complex_Seafood","Top20_VIP_High"
"42362","Complex_Seafood","Top20_VIP_High"
"42364","Complex_Dairy","Top20_VIP_High"
"42374","Complex_Dairy","Top20_VIP_High"
"42376","Complex_Dairy","Top20_VIP_High"
"42379","Complex_Dairy","Top20_VIP_High"
"42443","Complex_Dairy","Top20_VIP_High"
"4250","Vegetable","Top20_VIP_High"
"42648","Vitamins","Top20_VIP_High"
"42656","Dairy","Top20_VIP_High"
"42662","Vitamins","Top20_VIP_High"
"42741","Complex","Top20_VIP_High"
"42797","Complex","Top20_VIP_High"
"42822","EEN","Top20_VIP_High"
"42835","Complex","Top20_VIP_High"
"42843","EEN","Top20_VIP_High"
"43035","Complex","Top20_VIP_High"
"43049","Complex_Dairy","Top20_VIP_High"
"43064","EEN","Top20_VIP_High"
"43066","Complex_Dairy","Top20_VIP_High"
"43075","Complex_Dairy","Top20_VIP_High"
"43077","Complex_Dairy","Top20_VIP_High"
"4309","Complex_Seafood","Top20_VIP_High"
"43095","Complex","Top20_VIP_High"
"43140","Complex","Top20_VIP_High"
"43236","Complex","Top20_VIP_High"
"43352","EEN","Top20_VIP_High"
"43353","EEN","Top20_VIP_High"
"43512","Complex","Top20_VIP_High"
"43550","Dairy","Top20_VIP_High"
"43604","Complex_Seafood","Top20_VIP_High"
"43612","Complex_Seafood","Top20_VIP_High"
"4365","Complex_Meat","Top20_VIP_High"
"43841","Vitamins","Top20_VIP_High"
"43924","Complex","Top20_VIP_High"
"43953","Egg","Top20_VIP_High"
"44","Complex_Meat","Top20_VIP_High"
"44017","Complex","Top20_VIP_High"
"44027","Complex","Top20_VIP_High"
"44251","Complex","Top20_VIP_High"
"44319","Complex","Top20_VIP_High"
"44320","Complex","Top20_VIP_High"
"44323","Complex","Top20_VIP_High"
"44350","Complex","Top20_VIP_High"
"44395","Vitamins","Top20_VIP_High"
"44510","Complex_Seafood","Top20_VIP_High"
"44516","Complex_Seafood","Top20_VIP_High"
"44527","Vegetable","Top20_VIP_High"
"44688","Complex_Seafood","Top20_VIP_High"
"44751","Fried_Food","Top20_VIP_High"
"44899","Complex_Seafood","Top20_VIP_High"
"44932","Fried_Food","Top20_VIP_High"
"4504","Complex_Meat","Top20_VIP_High"
"45093","bran","Top20_VIP_High"
"45140","Vegetable","Top20_VIP_High"
"45148","Complex_Seafood","Top20_VIP_High"
"4544","Fruit","Top20_VIP_High"
"4553","Fruit","Top20_VIP_High"
"45618","bran","Top20_VIP_High"
"45663","Vegetable","Top20_VIP_High"
"45736","Vegetable","Top20_VIP_High"
"45824","Vegetable","Top20_VIP_High"
"45941","Fried_Food","Top20_VIP_High"
"45954","Fried_Food","Top20_VIP_High"
"460","Complex_Seafood","Top20_VIP_High"
"46000","Fried_Food","Top20_VIP_High"
"4605","Complex_Meat","Top20_VIP_High"
"46099","Vegetable","Top20_VIP_High"
"461","Complex_Seafood","Top20_VIP_High"
"46459","EEN","Top20_VIP_High"
"46544","Vegetable","Top20_VIP_High"
"4671","EEN","Top20_VIP_High"
"46892","EEN","Top20_VIP_High"
"47058","Vitamins","Top20_VIP_High"
"47165","Fried_Food","Top20_VIP_High"
"47186","Fried_Food","Top20_VIP_High"
"47212","Fried_Food","Top20_VIP_High"
"47314","Fried_Food","Top20_VIP_High"
"47599","Vegetable","Top20_VIP_High"
"47871","bran","Top20_VIP_High"
"48074","Complex_Seafood","Top20_VIP_High"
"48296","Dairy","Top20_VIP_High"
"48352","Complex_Dairy","Top20_VIP_High"
"4836","bran","Top20_VIP_High"
"48636","Complex_Seafood","Top20_VIP_High"
"48748","Egg","Top20_VIP_High"
"48810","Fried_Food","Top20_VIP_High"
"48876","Vitamins","Top20_VIP_High"
"4893","Fruit","Top20_VIP_High"
"49073","Complex_Seafood","Top20_VIP_High"
"49121","Vitamins","Top20_VIP_High"
"49138","Vitamins","Top20_VIP_High"
"49299","Complex_Seafood","Top20_VIP_High"
"49314","Vitamins","Top20_VIP_High"
"49325","Fried_Food","Top20_VIP_High"
"49400","bran","Top20_VIP_High"
"49531","bran","Top20_VIP_High"
"501","Fried_Food","Top20_VIP_High"
"50258","bran","Top20_VIP_High"
"504","Fried_Food","Top20_VIP_High"
"50506","Complex_Seafood","Top20_VIP_High"
"50641","Fried_Food","Top20_VIP_High"
"5066","Fruit","Top20_VIP_High"
"50729","Complex_Seafood","Top20_VIP_High"
"50764","Fried_Food","Top20_VIP_High"
"51304","Fried_Food","Top20_VIP_High"
"51308","EEN","Top20_VIP_High"
"51318","Fried_Food","Top20_VIP_High"
"51337","Fried_Food","Top20_VIP_High"
"51365","Fried_Food","Top20_VIP_High"
"51373","Fried_Food","Top20_VIP_High"
"51612","Complex_Seafood","Top20_VIP_High"
"51857","Fried_Food","Top20_VIP_High"
"51884","Egg","Top20_VIP_High"
"52073","Fried_Food","Top20_VIP_High"
"52121","Fried_Food","Top20_VIP_High"
"52122","Fried_Food","Top20_VIP_High"
"52153","Fried_Food","Top20_VIP_High"
"52217","Complex_Seafood","Top20_VIP_High"
"52480","Egg","Top20_VIP_High"
"52985","Egg","Top20_VIP_High"
"53052","Egg","Top20_VIP_High"
"53455","Fried_Food","Top20_VIP_High"
"53614","EEN","Top20_VIP_High"
"53672","Egg","Top20_VIP_High"
"5373","Fruit","Top20_VIP_High"
"5376","Complex_Meat","Top20_VIP_High"
"539","Complex_Seafood","Top20_VIP_High"
"5391","Complex_Meat","Top20_VIP_High"
"53920","bran","Top20_VIP_High"
"53982","Vegetable","Top20_VIP_High"
"5401","EEN","Top20_VIP_High"
"54238","bran","Top20_VIP_High"
"54392","bran","Top20_VIP_High"
"5450","bran","Top20_VIP_High"
"54633","Vegetable","Top20_VIP_High"
"5493","Fruit","Top20_VIP_High"
"55289","Egg","Top20_VIP_High"
"55421","Egg","Top20_VIP_High"
"56215","Egg","Top20_VIP_High"
"56468","Egg","Top20_VIP_High"
"56557","Vegetable","Top20_VIP_High"
"56618","Egg","Top20_VIP_High"
"56801","Egg","Top20_VIP_High"
"56822","Fried_Food","Top20_VIP_High"
"5704","bran","Top20_VIP_High"
"57114","Egg","Top20_VIP_High"
"5714","bran","Top20_VIP_High"
"57216","Egg","Top20_VIP_High"
"57386","Fruit","Top20_VIP_High"
"5747","bran","Top20_VIP_High"
"57489","EEN","Top20_VIP_High"
"57493","EEN","Top20_VIP_High"
"57530","EEN","Top20_VIP_High"
"57534","EEN","Top20_VIP_High"
"57848","Egg","Top20_VIP_High"
"57884","EEN","Top20_VIP_High"
"5809","Complex_Meat","Top20_VIP_High"
"58096","Egg","Top20_VIP_High"
"58129","bran","Top20_VIP_High"
"58573","EEN","Top20_VIP_High"
"60550","EEN","Top20_VIP_High"
"60639","bran","Top20_VIP_High"
"60645","Egg","Top20_VIP_High"
"60738","Vegetable","Top20_VIP_High"
"60859","Fried_Food","Top20_VIP_High"
"61203","Vegetable","Top20_VIP_High"
"61388","Vegetable","Top20_VIP_High"
"61466","Vitamins","Top20_VIP_High"
"61625","Vegetable","Top20_VIP_High"
"6246","bran","Top20_VIP_High"
"630","Complex_Seafood","Top20_VIP_High"
"6372","Fried_Food","Top20_VIP_High"
"6431","Complex_Meat","Top20_VIP_High"
"6433","Vegetable","Top20_VIP_High"
"646","Complex_Seafood","Top20_VIP_High"
"6464","Fruit","Top20_VIP_High"
"6481","Fruit","Top20_VIP_High"
"680","Complex_Seafood","Top20_VIP_High"
"6895","Vegetable","Top20_VIP_High"
"6986","bran","Top20_VIP_High"
"6988","bran","Top20_VIP_High"
"7000","bran","Top20_VIP_High"
"7012","Fruit","Top20_VIP_High"
"704","Fried_Food","Top20_VIP_High"
"7040","Vitamins","Top20_VIP_High"
"7104","Vegetable","Top20_VIP_High"
"7158","Fruit","Top20_VIP_High"
"7172","Vitamins","Top20_VIP_High"
"7256","Fruit","Top20_VIP_High"
"7502","bran","Top20_VIP_High"
"7688","Vegetable","Top20_VIP_High"
"771","Egg","Top20_VIP_High"
"7788","bran","Top20_VIP_High"
"7801","Vegetable","Top20_VIP_High"
"8063","EEN","Top20_VIP_High"
"8283","Complex_Dairy","Top20_VIP_High"
"8336","Complex_Meat","Top20_VIP_High"
"8340","Complex_Meat","Top20_VIP_High"
"8394","bran","Top20_VIP_High"
"8548","EEN","Top20_VIP_High"
"8835","Vegetable","Top20_VIP_High"
"8866","Vegetable","Top20_VIP_High"
"8868","Complex_Dairy","Top20_VIP_High"
"8951","Fruit","Top20_VIP_High"
"8988","Dairy","Top20_VIP_High"
"901","Egg","Top20_VIP_High"
"9271","Fruit","Top20_VIP_High"
"964","EEN","Top20_VIP_High"
"968","Fried_Food","Top20_VIP_High"
"9699","bran","Top20_VIP_High"
"9983","bran","Top20_VIP_High"
